"1" "id" "timestamp" "is_buy" "stockid" "price" "amount" "is_real"
"76" "1790" "2015-01-06 09:50:05" "0" "sh600216" "11.35" "1800" "1"
"77" "1813" "2015-01-07 14:55:04" "1" "sh600216" "11.27" "1800" "1"
"78" "813" "2014-10-22 10:15:08" "0" "sh600343" "16.79" "1200" "1"
"79" "831" "2014-10-23 09:35:33" "1" "sh600343" "16.54" "1200" "1"
"80" "884" "2014-11-03 10:07:47" "0" "sh600343" "17.29" "1200" "1"
"81" "894" "2014-11-04 09:35:29" "1" "sh600343" "16.95" "1200" "1"
"82" "909" "2014-11-05 10:40:21" "0" "sh600343" "16.7" "1200" "1"
"83" "921" "2014-11-06 09:35:59" "1" "sh600343" "16.74" "1200" "1"
"84" "1169" "2014-11-25 10:11:35" "0" "sh600343" "16.29" "1200" "1"
"85" "1192" "2014-11-26 14:55:02" "1" "sh600343" "16.67" "1200" "1"
"86" "1330" "2014-12-05 09:31:11" "0" "sh600343" "17.85" "1100" "1"
"87" "1690" "2014-12-25 09:37:24" "1" "sh600343" "18.62" "1100" "1"
"88" "1648" "2014-12-24 09:35:57" "0" "sh600343" "17.78" "1100" "1"
"89" "1690" "2014-12-25 09:37:24" "1" "sh600343" "18.62" "1100" "1"
"90" "2103" "2015-01-26 09:35:23" "0" "sh600343" "19.767" "1000" "1"
"91" "2127" "2015-01-27 14:53:04" "1" "sh600343" "19.7" "1000" "1"
"92" "249" "2014-08-05 10:45:18" "0" "sh600389" "31.15" "600" "1"
"93" "261" "2014-08-06 14:55:04" "1" "sh600389" "30.88" "600" "1"
"94" "331" "2014-08-18 09:31:15" "0" "sh600389" "32.88" "600" "1"
"95" "347" "2014-08-19 09:37:52" "1" "sh600389" "32.74" "600" "1"
"96" "1003" "2014-11-13 10:51:38" "0" "sh600389" "30.2" "700" "1"
"97" "1020" "2014-11-14 09:39:43" "1" "sh600389" "30.1" "700" "1"
"98" "1214" "2014-11-27 09:55:26" "0" "sh600389" "30.72" "700" "1"
"99" "1231" "2014-11-28 09:45:19" "1" "sh600389" "30.7" "700" "1"
"100" "1282" "2014-12-03 11:06:13" "0" "sh600389" "30.44" "700" "1"
"101" "1307" "2014-12-04 09:35:19" "1" "sh600389" "30.27" "700" "1"
"102" "1481" "2014-12-15 09:47:28" "0" "sh600389" "30.5886" "700" "1"
"103" "1503" "2014-12-16 10:46:19" "1" "sh600389" "30.12" "700" "1"
"104" "463" "2014-09-04 10:23:56" "0" "sh600391" "20.92" "1000" "1"
"105" "472" "2014-09-05 14:55:03" "1" "sh600391" "20.63" "1000" "1"
"106" "497" "2014-09-10 09:48:16" "0" "sh600391" "20.68" "1000" "1"
"107" "506" "2014-09-11 10:06:41" "1" "sh600391" "21.76" "1000" "1"
"108" "524" "2014-09-12 09:36:26" "0" "sh600391" "21.5" "900" "1"
"109" "532" "2014-09-15 09:39:42" "1" "sh600391" "22.34" "900" "1"
"110" "562" "2014-09-18 10:13:57" "0" "sh600391" "20.299" "1000" "1"
"111" "571" "2014-09-19 13:48:28" "1" "sh600391" "20.67" "1000" "1"
"112" "594" "2014-09-23 09:30:08" "0" "sh600391" "21.45" "900" "1"
"113" "611" "2014-09-24 09:34:01" "1" "sh600391" "24.1" "900" "1"
"114" "610" "2014-09-24 09:30:09" "0" "sh600391" "23.68" "800" "1"
"115" "611" "2014-09-24 09:34:01" "1" "sh600391" "24.1" "900" "1"
"116" "858" "2014-10-29 09:59:48" "0" "sh600391" "27.1" "700" "1"
"117" "867" "2014-10-30 09:33:15" "1" "sh600391" "26.83" "700" "1"
"118" "1132" "2014-11-21 10:15:55" "0" "sh600391" "23.585" "800" "1"
"119" "1146" "2014-11-24 09:35:37" "1" "sh600391" "23.5" "800" "1"
"120" "1171" "2014-11-25 09:42:36" "0" "sh600391" "24.05" "800" "1"
"121" "1197" "2014-11-26 09:34:34" "1" "sh600391" "24.49" "800" "1"
"122" "1311" "2014-12-04 09:42:48" "0" "sh600410" "27.21" "700" "1"
"123" "1328" "2014-12-05 09:35:03" "1" "sh600410" "26.55" "700" "1"
"124" "1329" "2014-12-05 09:40:39" "0" "sh600410" "26.37" "800" "1"
"125" "1398" "2014-12-10 14:57:21" "1" "sh600410" "24.03" "800" "1"
"126" "1359" "2014-12-09 09:33:20" "0" "sh600410" "26.55" "800" "1"
"127" "1398" "2014-12-10 14:57:21" "1" "sh600410" "24.03" "800" "1"
"128" "1578" "2014-12-22 09:30:38" "0" "sh600425" "6.75" "3000" "1"
"129" "1641" "2014-12-24 09:30:51" "1" "sh600425" "6.36" "6000" "1"
"130" "1611" "2014-12-23 09:30:09" "0" "sh600425" "6.68" "3000" "1"
"131" "1641" "2014-12-24 09:30:51" "1" "sh600425" "6.36" "6000" "1"
"132" "1692" "2014-12-25 10:10:17" "0" "sh600425" "6.39" "3100" "1"
"133" "1708" "2014-12-29 10:23:31" "1" "sh600425" "6.7" "3100" "1"
"134" "1763" "2015-01-05 10:03:07" "0" "sh600425" "7.05" "2800" "1"
"135" "1788" "2015-01-06 09:39:38" "1" "sh600425" "6.85" "2800" "1"
"136" "1896" "2015-01-13 09:34:56" "0" "sh600425" "6.72" "3000" "1"
"137" "1919" "2015-01-14 14:28:41" "1" "sh600425" "6.56" "3000" "1"
"138" "293" "2014-08-12 09:32:38" "0" "sh600435" "23.4311" "900" "1"
"139" "299" "2014-08-13 09:41:23" "1" "sh600435" "22.8" "900" "1"
"140" "410" "2014-09-01 09:30:07" "0" "sh600435" "21.56" "900" "1"
"141" "426" "2014-09-02 13:36:14" "1" "sh600435" "23.11" "900" "1"
"142" "459" "2014-09-04 10:07:11" "0" "sh600435" "22.95" "900" "1"
"143" "469" "2014-09-05 14:55:04" "1" "sh600435" "24.28" "900" "1"
"144" "596" "2014-09-23 09:58:39" "0" "sh600435" "24.56" "800" "1"
"145" "614" "2014-09-24 09:39:24" "1" "sh600435" "25.11" "800" "1"
"146" "1479" "2014-12-15 09:51:26" "0" "sh600435" "27.38" "700" "1"
"147" "1506" "2014-12-16 10:18:56" "1" "sh600435" "27.3071" "700" "1"
"148" "1650" "2014-12-24 09:46:17" "0" "sh600435" "24.4" "800" "1"
"149" "1691" "2014-12-25 09:57:28" "1" "sh600435" "24.76" "800" "1"
"150" "1914" "2015-01-14 09:30:12" "0" "sh600435" "23.3967" "900" "1"
"151" "1934" "2015-01-15 14:55:04" "1" "sh600435" "23.37" "900" "1"
"152" "519" "2014-09-12 09:31:45" "0" "sh600501" "15.42" "1300" "1"
"153" "536" "2014-09-15 09:32:17" "1" "sh600501" "15.53" "1300" "1"
"154" "548" "2014-09-16 10:59:30" "0" "sh600501" "15.02" "1300" "1"
"155" "558" "2014-09-17 09:34:05" "1" "sh600501" "14.68" "1300" "1"
"156" "630" "2014-09-25 10:00:00" "0" "sh600501" "15.8" "1300" "1"
"157" "643" "2014-09-26 09:35:01" "1" "sh600501" "15.99" "1300" "1"
"158" "665" "2014-10-10 09:50:29" "0" "sh600501" "15.44" "1300" "1"
"159" "683" "2014-10-13 09:49:37" "1" "sh600501" "15.7" "1300" "1"
"160" "684" "2014-10-13 10:34:57" "0" "sh600501" "15.87" "1300" "1"
"161" "709" "2014-10-14 10:50:05" "1" "sh600501" "16.16" "1300" "1"
"162" "707" "2014-10-14 09:49:17" "0" "sh600501" "15.99" "1300" "1"
"163" "709" "2014-10-14 10:50:05" "1" "sh600501" "16.16" "1300" "1"
"164" "741" "2014-10-16 10:00:03" "0" "sh600501" "15.36" "1300" "1"
"165" "764" "2014-10-17 14:55:04" "1" "sh600501" "14.59" "1300" "1"
"166" "1543" "2014-12-18 09:58:07" "0" "sh600501" "15.4946" "1300" "1"
"167" "1560" "2014-12-19 09:36:00" "1" "sh600501" "15.5" "1300" "1"
"168" "1608" "2014-12-23 09:34:38" "0" "sh600501" "14.1486" "1400" "1"
"169" "1649" "2014-12-24 09:41:51" "1" "sh600501" "14.03" "1400" "1"
"170" "1954" "2015-01-16 10:56:53" "0" "sh600501" "13.89" "1400" "1"
"171" "1977" "2015-01-19 09:31:19" "1" "sh600501" "13.5107" "1400" "1"
"172" "2006" "2015-01-20 09:37:43" "0" "sh600501" "13.5137" "1500" "1"
"173" "2044" "2015-01-21 14:55:04" "1" "sh600501" "14.12" "1500" "1"
"174" "2130" "2015-01-27 09:39:49" "0" "sh600501" "14.78" "1400" "1"
"175" "2149" "2015-01-28 11:23:07" "1" "sh600501" "14.6" "1400" "1"
"176" "199" "2014-07-29 09:35:31" "0" "sh600596" "8.86" "2300" "1"
"177" "212" "2014-07-30 09:45:31" "1" "sh600596" "9.08" "2300" "1"
"178" "319" "2014-08-15 09:36:59" "0" "sh600596" "9.5514" "2100" "1"
"179" "332" "2014-08-18 09:33:24" "1" "sh600596" "10.59" "2100" "1"
"180" "625" "2014-09-25 10:10:14" "0" "sh600596" "10.24" "2000" "1"
"181" "642" "2014-09-26 09:35:03" "1" "sh600596" "10.5" "2000" "1"
"182" "481" "2014-09-09 09:39:38" "0" "sh600597" "17.57" "1100" "1"
"183" "495" "2014-09-10 09:33:11" "1" "sh600597" "17.15" "1100" "1"
"184" "950" "2014-11-10 10:13:34" "0" "sh600597" "15.34" "1300" "1"
"185" "966" "2014-11-11 09:34:26" "1" "sh600597" "15.68" "1300" "1"
"186" "1023" "2014-11-14 10:24:35" "0" "sh600597" "16.14" "1200" "1"
"187" "1054" "2014-11-17 10:00:25" "1" "sh600597" "16.12" "1200" "1"
"188" "1053" "2014-11-17 09:30:15" "0" "sh600597" "16.65" "1200" "1"
"189" "1054" "2014-11-17 10:00:25" "1" "sh600597" "16.12" "1200" "1"
"190" "1129" "2014-11-21 10:36:43" "0" "sh600597" "15.38" "1300" "1"
"191" "1145" "2014-11-24 09:43:50" "1" "sh600597" "15.36" "1300" "1"
"192" "1285" "2014-12-03 09:49:29" "0" "sh600597" "16.4783" "1200" "1"
"193" "1286" "2014-12-03 14:55:03" "1" "sh600597" "16.21" "1300" "1"
"194" "1709" "2014-12-29 10:04:27" "0" "sh600597" "17.055" "2400" "1"
"195" "1817" "2015-01-07 10:20:30" "1" "sh600597" "18.13" "1100" "1"
